,url,title,textualRating,languageCode,publisher.name,publisher.site,reviewDate,text,claimant,claimDate,claimant_party,reason
14737,http://www.cbsnews.com/news/spicer-says-hitler-didnt-use-chemical-weapons/,Sean Spicer: Hitler didn't use chemical weapons,well-documented use of poison gas during the Holocaust. Six million Jews were slaughtered in the Holocaust; many in Nazi gas chambers,en,CBS News,cbsnews.com,2016-04-11T00:00:00Z,someone as despicable as Hitler who didn’t even sink to the - to using chemical weapons,Sean Spicer,2017-04-11T00:00:00Z,Republican,
14834,http://www.cbsnews.com/news/trump-first-100-days-tracker-fact-checks/,Trump First 100 Days: Tracking Promises,He actually did promise in his plan to 'begin the process of selecting a replacement for Justice Scalia.',en,CBS News,cbsnews.com,2016-10-10T00:00:00Z,I didn’t put Supreme Court judge on the 100 (day) plan,Donald J. Trump,2016-10-26T00:00:00Z,Republican,
14835,http://www.cbsnews.com/news/trump-first-100-days-tracker-fact-checks/,Trump First 100 Days: Tracking Promises,Americans will be voting for this 100-day plan to restore prosperity to our economy; security to our communities; and honesty to our government. This is my pledge to you.,en,CBS News,cbsnews.com,2016-10-10T00:00:00Z,I think the 100 days is; you know; it’s an artificial barrier. It’s not very meaningful.,Donald J. Trump,2016-10-26T00:00:00Z,Republican,
14825,http://www.cbsnews.com/news/senate-filibuster-gorsuch-really-unprecedented/,Is the Senate filibuster of Gorsuch really 'unprecedented?',Republican Senator Strom Thurmond essentially did this in 1968 to block Justice Abe Fortas’s confirmation as Chief Justice,en,CBS News,cbsnews.com,2016-10-10T00:00:00Z,Neil Gorsuch; dubbed any Democratic filibuster of President Donald Trump’s nominee; 'unprecedented.',Mitch McConnell,2017-04-06T00:00:00Z,Republican,
14743,http://www.cbsnews.com/news/trump-paris-climate-agreement-speech-fact-check/,Is the Paris climate agreement bad for the US?,True with a big caveat,en,CBS News,cbsnews.com,2017-06-01T00:00:00Z,absolutely tremendous economic progress since Election Day...more than a million private-sector jobs,Donald Trump,2017-06-01T00:00:00Z,Republican,
14760,http://www.cbsnews.com/news/trump-paris-climate-agreement-speech-fact-check/,Is the Paris climate agreement bad for the US?,False: Trump is lowballing the number,en,CBS News,cbsnews.com,2017-06-01T00:00:00Z,only produce a two-tenths of one degree -- think of that; this much -- Celsius reduction in global temperature,Donald Trump,2017-06-01T00:00:00Z,Republican,
14880,http://www.cbsnews.com/news/trump-paris-climate-agreement-speech-fact-check/,Is the Paris climate agreement bad for the US?,India's aim: reduce emissions intensity of GDP,en,CBS News,cbsnews.com,2017-06-01T00:00:00Z,India will be allowed to double its coal production by 2020,Donald Trump,2017-06-01T00:00:00Z,Republican,
14904,http://www.cbsnews.com/news/trump-paris-climate-agreement-speech-fact-check/,Is the Paris climate agreement bad for the US?,Peak emissions' by 2030,en,CBS News,cbsnews.com,2017-06-01T00:00:00Z,China will be able to increase these emissions by a staggering number of years; 13,Donald Trump,2017-06-01T00:00:00Z,Republican,
14908,http://www.cbsnews.com/news/job-growth-trump-paris-agreement-pullout-fact-check/,Will Trump's Paris agreement exit spur job growth?,Multiple factors unaccounted for,en,CBS News,cbsnews.com,2017-06-01T00:00:00Z,The accord would cost the U.S. 2.7 million jobs by 2025,Donald Trump,2017-06-01T00:00:00Z,Republican,
14915,http://www.cbsnews.com/news/trump-paris-climate-agreement-speech-fact-check/,Is the Paris climate agreement bad for the US?,Not determinable from current studies,en,CBS News,cbsnews.com,2017-06-01T00:00:00Z,The cost to the economy at this time would be close to $3 trillion in lost GDP,Donald Trump,2017-06-01T00:00:00Z,Republican,
