,,url,location,location extra,text,title,languageCode,publisher.name,publisher.site,reviewDate,claimDate,claimant,claimant_canonical_name,claimant_party,textualRating,reason,ratingsimp,T/F RQ1,is_politician_strict,rand_num
,3255,https://www.politifact.com/article/2016/jul/19/fact-checking-second-night-2016-republican-nationa/,Speech/Remarks,Campaign,‘What difference; at this point; does it make?' I am the guy that got under her skin and provoked that infamous response from Hillary Clinton by asking a pretty simple question; 'Why didn't you just pick up the phone and call the survivors’ (of the Benghazi attack)?',Fact-checking the second night of the 2016 Republican National Convention,en,PolitiFact,politifact.com,2016-07-20T04:53:36Z,2016-07-19T00:00:00Z,Ron Johnson,Ron Johnson (Wisconsin politician),Republican,Mostly True,,5 Mostly True,True)ish,TRUE,1616
,7376,https://www.politifact.com/factchecks/2016/jul/28/barack-obama/crime-and-illegal-immigration-are-decades-long-low/,Speech/Remarks,Campaign,Illegal immigration and the crime rate are as low as they’ve been in decades.',Crime and illegal immigration are at decades-long lows; says Barack Obama,en,PolitiFact,politifact.com,2016-07-28T05:15:13Z,2016-07-27T00:00:00Z,Barack Obama,Barack Obama,Democratic,Mostly True,,5 Mostly True,True)ish,TRUE,407
,4551,https://www.politifact.com/factchecks/2016/jul/21/mike-pence/mike-pences-false-claim-about-clintons-role-and-re/,Speech/Remarks,Campaign,It was Hillary Clinton who left Americans in harm's way in Benghazi and after four Americans fell said; 'What difference at this point does it make?' ',Mike Pence's inaccurate claim about Clinton's Benghazi role and response,en,PolitiFact,politifact.com,2016-07-21T04:36:30Z,2016-07-20T00:00:00Z,Mike Pence,Mike Pence,Republican,Mostly False,,3 Mostly False,False(ish),TRUE,1638
,5741,https://www.politifact.com/factchecks/2016/jul/28/tim-kaine/dnc-tim-kaine-says-even-republicans-think-donald-t/,Speech/Remarks,Campaign,John McCain’s chief economic adviser during the ’08 race … estimated that Trump’s promises would cause America to lose 3.5 million jobs.',At DNC; Tim Kaine says even Republicans think Donald Trump's proposals are problematic,en,PolitiFact,politifact.com,2016-07-28T03:04:08Z,2016-07-27T00:00:00Z,Tim Kaine,Tim Kaine,Democratic,Half True,,4 Half True,True)ish,TRUE,1609
,7582,https://www.politifact.com/factchecks/2016/jul/20/darryl-glenn/darryl-glenn-says-neighborhoods-have-become-more-v/,Speech/Remarks,Campaign,Neighborhoods have become more violent' under President Barack Obama's 'watch.',Darryl Glenn: 'Neighborhoods have become more violent' under Obama's watch,en,PolitiFact,politifact.com,2016-07-20T22:05:32Z,2016-07-18T00:00:00Z,Darryl Glenn,Darryl Glenn,Republican,Mostly False,,3 Mostly False,False(ish),TRUE,1861
,7230,https://www.politifact.com/factchecks/2016/jul/19/chris-christie/gov-chris-christie-clintons-reformer-quote/,Speech/Remarks,Campaign,Says '(Clinton) called President Assad a ‘reformer.’ She called Assad a ‘different kind of leader.’ ',In RNC speech; Chris Christie says Clinton called Assad a 'reformer;' a 'different kind of leader',en,PolitiFact,politifact.com,2016-07-20T02:39:43Z,2016-07-19T00:00:00Z,Chris Christie,Chris Christie,Republican,Half True,,4 Half True,True)ish,TRUE,1729
,4178,http://www.politifact.com/factchecks/2016/jul/29/joaquin-castro/joaquin-castro-says-donald-trump-defended-world-wa/,Speech/Remarks,Campaign,Says 'Donald Trump has defended' World War II internment camps.,Joaquin Castro says Donald Trump defended World War II internment camps,en,PolitiFact,politifact.com,2016-07-29T05:23:56Z,2016-07-28T00:00:00Z,Joaquin Castro,Joaquin Castro,Democratic,Half True,,4 Half True,True)ish,TRUE,2001
,3424,https://www.politifact.com/factchecks/2016/jul/20/newt-gingrich/gingrich-says-clinton-wants-increase-number-syrian/,Speech/Remarks,Campaign,Says 'Hillary (Clinton) wants to increase the number (of Syrian refugees) by 500 percent.',Newt Gingrich says Hillary Clinton wants to increase number of Syrian refugees by 500 percent,en,PolitiFact,politifact.com,2016-07-21T04:09:28Z,2016-07-20T00:00:00Z,Newt Gingrich,Newt Gingrich,Republican,Mostly True,,5 Mostly True,True)ish,TRUE,595
,1928,https://www.politifact.com/factchecks/2016/jul/21/mike-pence/mike-pence-stretches-claim-record-education-spendi/,Speech/Remarks,Campaign,Says as Indiana governor; he has made 'record investments in education.',Mike Pence stretches claim of record education spending in Indiana at Republican convention,en,PolitiFact,politifact.com,2016-07-21T05:41:34Z,2016-07-20T00:00:00Z,Mike Pence,Mike Pence,Republican,Half True,,4 Half True,True)ish,TRUE,31
,2626,https://www.politifact.com/factchecks/2016/jul/27/joseph-crowley/did-donald-trump-cash-federal-funds-days-after-911/,Speech/Remarks,Campaign,Says Donald Trump 'cashed in' on Sept. 11; 'collecting $150;000 in federal funds intended to help small businesses recover — even though days after the attack Trump said his properties were not affected.',Did Donald Trump 'cash in' $150;000 after 9/11?,en,PolitiFact,politifact.com,2016-07-27T04:23:18Z,2016-07-26T00:00:00Z,Joseph Crowley,Joe Crowley,Democratic,Half True,,4 Half True,True)ish,TRUE,2443
